Architecture,Memory,Workers,cores,avg_proc_time
x86_64,6400,3,4,4.719349512763046
x86_64,6400,4,4,4.025972941942073
x86_64,6400,5,4,4.241573409568459
x86_64,6400,6,4,3.8247356931948446
x86_64,6656,1,4,12.750548252557833
x86_64,6656,2,4,6.558358598500031
x86_64,6656,3,4,4.417755115605339
x86_64,6656,4,4,3.7974759504474176
x86_64,6656,5,4,4.234079322389612
x86_64,6656,6,4,3.7218646272736517
x86_64,6912,1,4,12.872393063621077
x86_64,6912,2,4,6.601770107210474
x86_64,6912,3,4,4.453041639657925
x86_64,6912,4,4,3.730802406631569
x86_64,6912,5,4,4.103820032484222
x86_64,6912,6,4,3.594084275942205
x86_64,7168,1,5,12.932848644468361
x86_64,7168,2,5,6.578844826620969
x86_64,7168,3,5,4.552122258483895
x86_64,7168,4,5,3.452341783057768
x86_64,7168,5,5,3.392712496436805
x86_64,7168,6,5,3.79540985034731
x86_64,7424,1,5,13.43497812775255
x86_64,7424,2,5,6.541006914805171
x86_64,7424,3,5,4.577088145605117
x86_64,7424,4,5,3.4003781186684137
x86_64,7424,5,5,3.3632179272262035
x86_64,7424,6,5,3.7432633790264176
x86_64,7680,1,5,12.386385377263085
x86_64,7680,2,5,6.663793998768446
x86_64,7680,3,5,4.446992034473595
x86_64,7680,4,5,3.425005398084228
x86_64,7680,5,5,3.339342973800101
x86_64,7680,6,5,3.6950337320631177
x86_64,7936,1,5,12.980132556778903
x86_64,7936,2,5,6.5191522081473
x86_64,7936,3,5,4.55748997305786
x86_64,7936,4,5,3.4168180327577398
x86_64,7936,5,5,3.101521264889382
x86_64,7936,6,5,3.624412514078923
x86_64,8192,1,5,12.727600397983988
x86_64,8192,2,5,6.541187466705193
x86_64,8192,3,5,4.416017704821103
x86_64,8192,4,5,3.405644170184161
x86_64,8192,5,5,3.177829997484246
x86_64,8192,6,5,3.8575145884947184
x86_64,8448,1,5,12.73361706279995
x86_64,8448,2,5,6.606866689763216
x86_64,8448,3,5,4.527252330100042
x86_64,8448,4,5,3.485594268363098
x86_64,8448,5,5,3.040185857205439
x86_64,8448,6,5,3.549450168757975
x86_64,8704,1,5,12.715924588300114
x86_64,8704,2,5,6.214270528042101
x86_64,8704,3,5,4.524192382631562
x86_64,8704,4,5,3.7940480206841203
x86_64,8704,5,5,2.9672092051895884
x86_64,8704,6,5,3.6959108303686565
x86_64,8960,1,6,12.672156776305242
x86_64,8960,2,6,6.752168673642039
x86_64,8960,3,6,4.94329490278429
x86_64,8960,4,6,3.501058420805274
x86_64,8960,5,6,2.872588824410492
x86_64,8960,6,6,2.8955778278157283
x86_64,9216,1,6,13.085654319973578
x86_64,9216,2,6,6.787113661247282
x86_64,9216,3,6,4.46948911252113
x86_64,9216,4,6,3.5964098075790103
x86_64,9216,5,6,2.8877768454631787
x86_64,9216,6,6,2.9452755656420586
x86_64,9472,1,6,12.654583112815807
x86_64,9472,2,6,6.660749231778975
x86_64,9472,3,6,4.647237568552645
x86_64,9472,4,6,3.553332448726336
x86_64,9472,5,6,2.899443258442113
x86_64,9472,6,6,3.3136283687999373
x86_64,9728,1,6,12.88968814616319
x86_64,9728,2,6,6.598289476657948
x86_64,9728,3,6,4.741574125673641
x86_64,9728,4,6,3.8371912906578953
x86_64,9728,5,6,2.922763527847373
x86_64,9728,6,6,2.941101187384265
x86_64,9984,1,6,13.018339402715881
x86_64,9984,2,6,6.545101429931574
x86_64,9984,3,6,4.5754359114895315
x86_64,9984,4,6,3.8856381020735364
x86_64,9984,5,6,2.9040212365789846
x86_64,9984,6,6,3.0933053106367447
x86_64,10240,1,6,13.317966461699934
x86_64,10240,2,6,6.572319299257783
x86_64,10240,3,6,4.555654577410587
x86_64,10240,4,6,3.960261480536883
x86_64,10240,5,6,2.8779292369422036
x86_64,10240,6,6,2.8500238444210435
